FID,UnitName,PointName,Latitude,Longitude,SegmentL,SDate,Visit,SpeciesCod,SAgeID,PassCount1,PassCount2,PassCount3,Depth1,Depth2,Depth3,WaterPrese,SiltClay,Sand,Gravel,Pebble,Cobble,Boulder,Bedrock,Artificial,Detritus,LengthPool,LengthRun,LengthRiff,Width1,Width2,Width3,FishPresen,CrayfishPr,pH,Conductivi,WaterTemp,StartAirTe,StartWater,DDMLatLon,ORIG_OID,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y
1582,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,6/21/2006 0:00:00,1,EBIS,larva,2,6,2,13.5,1.5,1.8,NULL,NULL,48,11,NULL,3,NULL,NULL,NULL,38,3,2,10,190,37,38,N,Y,5.36,30,NULL,21.1,18.6,38 35.67953337N 077 24.20985658W,1582,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1583,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/11/2006 0:00:00,2,EBIS,larva,12,3,NULL,5,3.5,5,Y,48,12,23,1,NULL,NULL,NULL,NULL,16,3,7,5,82,49,50,N,Y,5.52,26,NULL,28.3,19.8,38 35.67953337N 077 24.20985658W,1583,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1584,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/11/2006 0:00:00,2,PRUB,larva,1,0,NULL,5,3.5,5,Y,48,12,23,1,NULL,NULL,NULL,NULL,16,3,7,5,82,49,50,N,Y,5.52,26,NULL,28.3,19.8,38 35.67953337N 077 24.20985658W,1584,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1585,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,6/23/2009 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,9,5,1,Y,16,28,1,NULL,NULL,NULL,NULL,NULL,36,4,8,3,150,41,21,N,Y,NULL,NULL,NULL,25,NULL,38 35.67953337N 077 24.20985658W,1585,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1586,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/21/2009 0:00:00,NULL,EBIS,larva,1,3,NULL,18,9,3,Y,NULL,31,35,NULL,11,NULL,NULL,NULL,24,2,9,4,65,40,34,N,Y,NULL,NULL,NULL,NULL,NULL,38 35.67953337N 077 24.20985658W,1586,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1587,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,6/18/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,9,2,0,Y,17,17,43,NULL,6,NULL,NULL,NULL,17,2,9,1,68,22,0,N,Y,6.4,20,NULL,19.2,17,38 35.67953337N 077 24.20985658W,1587,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1588,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/23/2013 0:00:00,1,EGUT,larva,1,2,2,9.7,8.7,3.8,Y,35,25,7,NULL,14,NULL,NULL,NULL,19,2,7,6,153,56,48,N,Y,6,21,NULL,27,22.3,38 35.67953337N 077 24.20985658W,1588,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1589,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/23/2013 0:00:00,1,EGUT,adult,1,0,0,9.7,8.7,3.8,Y,35,25,7,NULL,14,NULL,NULL,NULL,19,2,7,6,153,56,48,N,Y,6,21,NULL,27,22.3,38 35.67953337N 077 24.20985658W,1589,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1590,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/23/2013 0:00:00,1,EBIS,larva,2,2,1,9.7,8.7,3.8,Y,35,25,7,NULL,14,NULL,NULL,NULL,19,2,7,6,153,56,48,N,Y,6,21,NULL,27,22.3,38 35.67953337N 077 24.20985658W,1590,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1591,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/23/2013 0:00:00,1,EBIS,juvenile,1,0,0,9.7,8.7,3.8,Y,35,25,7,NULL,14,NULL,NULL,NULL,19,2,7,6,153,56,48,N,Y,6,21,NULL,27,22.3,38 35.67953337N 077 24.20985658W,1591,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1592,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/23/2013 0:00:00,1,EURY,larva,1,0,1,9.7,8.7,3.8,Y,35,25,7,NULL,14,NULL,NULL,NULL,19,2,7,6,153,56,48,N,Y,6,21,NULL,27,22.3,38 35.67953337N 077 24.20985658W,1592,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1593,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,6/30/2014 0:00:00,1,EBIS,larva,1,1,0,11.3,8,7.3,Y,49,9,NULL,2,15,NULL,NULL,NULL,25,2,8,5,120,55,60,N,Y,6.7,21,NULL,23.1,19.1,38 35.67953337N 077 24.20985658W,1593,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1594,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/27/2016 0:00:00,1,EBIS,larva,6,2,5,21,1.5,2.7,Y,16,19,30,NULL,6,NULL,NULL,NULL,29,3,4,8,87,38,27,N,Y,7,27,NULL,27.6,22.2,38 35.67953337N 077 24.20985658W,1594,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1595,Prince William Forest National Park,PRW226-1R,38.594666599999996,-77.403499999999994,15m,7/27/2016 0:00:00,1,PRUB,larva,0,5,1,21,1.5,2.7,Y,16,19,30,NULL,6,NULL,NULL,NULL,29,3,4,8,87,38,27,N,Y,7,27,NULL,27.6,22.2,38 35.67953337N 077 24.20985658W,1595,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1596,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,6/21/2006 0:00:00,1,EBIS,larva,1,2,2,2.5,2.3,1.5,Y,NULL,69,12,NULL,13,NULL,NULL,NULL,5,2,10,3,35,27,40,N,Y,5.36,30,NULL,21.1,18.6,38 35.67953337N 077 24.20985658W,1596,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1597,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,6/21/2006 0:00:00,1,EGUT,adult,0,1,0,2.5,2.3,1.5,Y,NULL,69,12,NULL,13,NULL,NULL,NULL,5,2,10,3,35,27,40,N,Y,5.36,30,NULL,21.1,18.6,38 35.67953337N 077 24.20985658W,1597,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1598,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,6/21/2006 0:00:00,1,PRUB,larva,1,0,0,2.5,2.3,1.5,Y,NULL,69,12,NULL,13,NULL,NULL,NULL,5,2,10,3,35,27,40,N,Y,5.36,30,NULL,21.1,18.6,38 35.67953337N 077 24.20985658W,1598,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1599,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,7/11/2006 0:00:00,NULL,EBIS,larva,1,2,NULL,3.1,10,2,Y,NULL,57,20,9,NULL,NULL,NULL,NULL,13,0,8,7,38,43,35,N,Y,5,26,NULL,28.3,19.8,38 35.67953337N 077 24.20985658W,1599,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1600,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,6/23/2009 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,2,1,2.5,Y,NULL,9,91,NULL,NULL,NULL,NULL,NULL,NULL,4,1,10,62,47,32,N,N,NULL,NULL,NULL,25,NULL,38 35.67953337N 077 24.20985658W,1600,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1601,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,7/21/2009 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,9,8,8,Y,NULL,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL,0,9,6,70,46,58,N,Y,NULL,NULL,NULL,NULL,NULL,38 35.67953337N 077 24.20985658W,1601,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1602,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,6/18/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,4,0,3.5,Y,NULL,10,50,NULL,35,NULL,NULL,NULL,5,2,7,1,56,0,44,N,N,6.4,20,NULL,19.2,17,38 35.67953337N 077 24.20985658W,1602,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1603,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,7/23/2013 0:00:00,1,EURY,larva,2,1,1,3.8,11,6.6,Y,33,7,37,NULL,NULL,NULL,NULL,NULL,23,6,5,4,48,102,73,N,N,6,21,NULL,27,22.3,38 35.67953337N 077 24.20985658W,1603,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1604,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,6/30/2014 0:00:00,1,EBIS,larva,0,1,1,10.5,7.2,17,Y,40,7,NULL,3,34,NULL,NULL,NULL,16,4,3,8,44,50,82,Y,Y,6.7,21,NULL,23.1,19.1,38 35.67953337N 077 24.20985658W,1604,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1605,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,6/30/2014 0:00:00,1,PRUB,larva,1,0,0,10.5,7.2,17,Y,40,7,NULL,3,34,NULL,NULL,NULL,16,4,3,8,44,50,82,Y,Y,6.7,21,NULL,23.1,19.1,38 35.67953337N 077 24.20985658W,1605,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1606,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,7/27/2016 0:00:00,1,EBIS,larva,3,2,4,-99,1.8,2.2,Y,19,1,4,67,2,NULL,NULL,NULL,7,5,6,4,68,50,38,Y,Y,7,27,NULL,27.6,22.2,38 35.67953337N 077 24.20985658W,1606,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1607,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,7/27/2016 0:00:00,1,EBIS,juvenile,1,0,0,-99,1.8,2.2,Y,19,1,4,67,2,NULL,NULL,NULL,7,5,6,4,68,50,38,Y,Y,7,27,NULL,27.6,22.2,38 35.67953337N 077 24.20985658W,1607,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1608,Prince William Forest National Park,PRW226-2L,38.594666599999996,-77.403499999999994,15m,7/27/2016 0:00:00,1,PRUB,larva,1,0,0,-99,1.8,2.2,Y,19,1,4,67,2,NULL,NULL,NULL,7,5,6,4,68,50,38,Y,Y,7,27,NULL,27.6,22.2,38 35.67953337N 077 24.20985658W,1608,115317,0.009456802580540,-77.394984096499996,38.590541705000000
1609,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/21/2006 0:00:00,1,EBIS,larva,2,2,NULL,4.5,5.9,3.8,Y,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,85,8,5,2,79,74,125,Y,Y,6.99,20,NULL,23.9,20.6,38 35.64786538N 077 24.17818859W,1609,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1610,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/21/2006 0:00:00,1,PRUB,larva,1,0,NULL,4.5,5.9,3.8,Y,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,85,8,5,2,79,74,125,Y,Y,6.99,20,NULL,23.9,20.6,38 35.64786538N 077 24.17818859W,1610,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1611,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/23/2009 0:00:00,NULL,EBIS,larva,1,0,NULL,14,4,7,Y,13,15,NULL,17,29,NULL,NULL,NULL,25,4,1,10,110,103,98,N,Y,NULL,NULL,NULL,25,NULL,38 35.64786538N 077 24.17818859W,1611,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1612,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/23/2009 0:00:00,NULL,PRUB,juvenile,1,0,NULL,14,4,7,Y,13,15,NULL,17,29,NULL,NULL,NULL,25,4,1,10,110,103,98,N,Y,NULL,NULL,NULL,25,NULL,38 35.64786538N 077 24.17818859W,1612,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1613,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/23/2009 0:00:00,NULL,EBIS,adult,0,1,NULL,14,4,7,Y,13,15,NULL,17,29,NULL,NULL,NULL,25,4,1,10,110,103,98,N,Y,NULL,NULL,NULL,25,NULL,38 35.64786538N 077 24.17818859W,1613,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1614,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,7/21/2009 0:00:00,NULL,PRUB,larva,1,0,NULL,2,6,3,Y,NULL,27,37,NULL,NULL,19,NULL,NULL,11,2,5,8,128,78,65,Y,Y,NULL,NULL,NULL,NULL,NULL,38 35.64786538N 077 24.17818859W,1614,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1615,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,7/21/2009 0:00:00,NULL,EBIS,larva,1,3,NULL,2,6,3,Y,NULL,27,37,NULL,NULL,19,NULL,NULL,11,2,5,8,128,78,65,Y,Y,NULL,NULL,NULL,NULL,NULL,38 35.64786538N 077 24.17818859W,1615,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1616,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/18/2012 0:00:00,1,EBIS,larva,7,2,2,3,6,9,Y,9,17,11,NULL,12,NULL,NULL,NULL,51,3,3,9,94,123,114,N,Y,6.4,20,NULL,19.2,17,38 35.64786538N 077 24.17818859W,1616,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1617,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/18/2012 0:00:00,1,PRUB,larva,2,1,0,3,6,9,Y,9,17,11,NULL,12,NULL,NULL,NULL,51,3,3,9,94,123,114,N,Y,6.4,20,NULL,19.2,17,38 35.64786538N 077 24.17818859W,1617,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1618,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/26/2013 0:00:00,1,EURY,larva,2,0,0,12.8,4.9,4.2,Y,NULL,8,43,18,8,4,NULL,NULL,19,4,4,7,115,53,50,N,Y,6.5,19,NULL,25.3,19.5,38 35.64786538N 077 24.17818859W,1618,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1619,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/26/2013 0:00:00,1,EGUT,larva,5,4,4,12.8,4.9,4.2,Y,NULL,8,43,18,8,4,NULL,NULL,19,4,4,7,115,53,50,N,Y,6.5,19,NULL,25.3,19.5,38 35.64786538N 077 24.17818859W,1619,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1620,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/26/2013 0:00:00,1,PRUB,larva,0,0,1,12.8,4.9,4.2,Y,NULL,8,43,18,8,4,NULL,NULL,19,4,4,7,115,53,50,N,Y,6.5,19,NULL,25.3,19.5,38 35.64786538N 077 24.17818859W,1620,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1621,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/30/2014 0:00:00,1,EBIS,larva,4,7,9,2.7,4.4,1.6,Y,4,32,43,8,9,NULL,NULL,NULL,4,0,5,10,138,131,55,Y,Y,6.8,25,NULL,26.5,18.7,38 35.64786538N 077 24.17818859W,1621,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1622,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,6/30/2014 0:00:00,1,PRUB,larva,2,0,0,2.7,4.4,1.6,Y,4,32,43,8,9,NULL,NULL,NULL,4,0,5,10,138,131,55,Y,Y,6.8,25,NULL,26.5,18.7,38 35.64786538N 077 24.17818859W,1622,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1623,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,7/27/2016 0:00:00,1,EBIS,larva,8,0,5,8.3,9.4,2.5,Y,19,26,29,2,8,6,NULL,NULL,10,7,6,2,60,125,75,Y,Y,7.6,33,NULL,27.6,23.5,38 35.64786538N 077 24.17818859W,1623,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1624,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,7/27/2016 0:00:00,1,EBIS,adult,0,1,0,8.3,9.4,2.5,Y,19,26,29,2,8,6,NULL,NULL,10,7,6,2,60,125,75,Y,Y,7.6,33,NULL,27.6,23.5,38 35.64786538N 077 24.17818859W,1624,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1625,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,7/27/2016 0:00:00,1,EGUT,larva,1,0,1,8.3,9.4,2.5,Y,19,26,29,2,8,6,NULL,NULL,10,7,6,2,60,125,75,Y,Y,7.6,33,NULL,27.6,23.5,38 35.64786538N 077 24.17818859W,1625,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1626,Prince William Forest National Park,PRW226-3R,38.594138800000003,-77.402972199999994,15m,7/27/2016 0:00:00,1,PRUB,larva,3,0,1,8.3,9.4,2.5,Y,19,26,29,2,8,6,NULL,NULL,10,7,6,2,60,125,75,Y,Y,7.6,33,NULL,27.6,23.5,38 35.64786538N 077 24.17818859W,1626,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1627,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/21/2006 0:00:00,1,EBIS,larva,2,4,NULL,4,3.3,3,NULL,NULL,35,NULL,4,25,NULL,NULL,NULL,37,3,11,1,50,30,120,N,Y,6.99,20,NULL,23.9,20.6,38 35.64786538N 077 24.17818859W,1627,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1628,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/21/2006 0:00:00,1,EGUT,adult,1,0,NULL,4,3.3,3,NULL,NULL,35,NULL,4,25,NULL,NULL,NULL,37,3,11,1,50,30,120,N,Y,6.99,20,NULL,23.9,20.6,38 35.64786538N 077 24.17818859W,1628,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1629,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/23/2009 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,10,3,4,Y,9,5,45,NULL,7,19,NULL,NULL,12,5,8,2,70,100,100,Y,Y,NULL,NULL,NULL,25,NULL,38 35.64786538N 077 24.17818859W,1629,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1630,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,7/21/2009 0:00:00,NULL,EBIS,larva,2,0,NULL,6,4,2,Y,21,5,31,20,9,NULL,NULL,NULL,NULL,1,7,7,65,130,80,Y,Y,NULL,NULL,NULL,NULL,NULL,38 35.64786538N 077 24.17818859W,1630,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1631,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/18/2012 0:00:00,1,EBIS,larva,0,1,0,8,4.2,0,Y,33,20,5,8,11,NULL,NULL,NULL,16,3,2,10,49,46,0,N,N,6.4,20,NULL,19.2,17,38 35.64786538N 077 24.17818859W,1631,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1632,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/26/2013 0:00:00,1,EURY,larva,2,1,0,4.2,8.7,14.5,Y,24,28,20,NULL,NULL,NULL,NULL,NULL,28,3,6,5,50,94,142,Y,Y,6.5,19,NULL,25.3,19.5,38 35.64786538N 077 24.17818859W,1632,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1633,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/26/2013 0:00:00,1,EGUT,larva,6,8,4,4.2,8.7,14.5,Y,24,28,20,NULL,NULL,NULL,NULL,NULL,28,3,6,5,50,94,142,Y,Y,6.5,19,NULL,25.3,19.5,38 35.64786538N 077 24.17818859W,1633,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1634,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/26/2013 0:00:00,1,NVIR,larva,3,0,0,4.2,8.7,14.5,Y,24,28,20,NULL,NULL,NULL,NULL,NULL,28,3,6,5,50,94,142,Y,Y,6.5,19,NULL,25.3,19.5,38 35.64786538N 077 24.17818859W,1634,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1635,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/26/2013 0:00:00,1,NVIR,adult,0,1,0,4.2,8.7,14.5,Y,24,28,20,NULL,NULL,NULL,NULL,NULL,28,3,6,5,50,94,142,Y,Y,6.5,19,NULL,25.3,19.5,38 35.64786538N 077 24.17818859W,1635,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1636,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,6/30/2014 0:00:00,1,EBIS,larva,2,0,0,0,0,3.5,Y,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,73,0,2,2,0,0,50,Y,Y,6.8,25,NULL,26.5,18.7,38 35.64786538N 077 24.17818859W,1636,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1637,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,7/27/2016 0:00:00,1,PRUB,larva,2,1,4,5.8,2.7,3.1,Y,26,24,NULL,7,NULL,NULL,NULL,NULL,39,12,3,0,66,60,54,Y,Y,7.6,33,NULL,27.6,23.5,38 35.64786538N 077 24.17818859W,1637,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1638,Prince William Forest National Park,PRW226-4L,38.594138800000003,-77.402972199999994,15m,7/27/2016 0:00:00,1,EBIS,larva,2,1,1,5.8,2.7,3.1,Y,26,24,NULL,7,NULL,NULL,NULL,NULL,39,12,3,0,66,60,54,Y,Y,7.6,33,NULL,27.6,23.5,38 35.64786538N 077 24.17818859W,1638,115317,0.008755301249230,-77.394984096499996,38.590541705000000
1639,Prince William Forest National Park,PRW226-A1,38.595361099999998,-77.404027700000000,15m,7/11/2006 0:00:00,1,RCLA,juvenile,NULL,NULL,NULL,8,2.5,2.5,Y,26,36,13,1,18,NULL,NULL,NULL,6,7,5,3,42,18,86,N,Y,7.09,24,NULL,25.7,19.2,38 35.72120336N 077 24.24151857W,1639,115317,0.010241866961000,-77.394984096499996,38.590541705000000
1640,Prince William Forest National Park,PRW226-A1,38.595361099999998,-77.404027700000000,15m,7/11/2006 0:00:00,1,RPIP,adult,NULL,NULL,NULL,8,2.5,2.5,Y,26,36,13,1,18,NULL,NULL,NULL,6,7,5,3,42,18,86,N,Y,7.09,24,NULL,25.7,19.2,38 35.72120336N 077 24.24151857W,1640,115317,0.010241866961000,-77.394984096499996,38.590541705000000
1641,Prince William Forest National Park,PRW226-A1,38.595361099999998,-77.404027700000000,15m,7/11/2006 0:00:00,1,EBIS,larva,2,1,1,8,2.5,2.5,Y,26,36,13,1,18,NULL,NULL,NULL,6,7,5,3,42,18,86,N,Y,7.09,24,NULL,25.7,19.2,38 35.72120336N 077 24.24151857W,1641,115317,0.010241866961000,-77.394984096499996,38.590541705000000
1642,Prince William Forest National Park,PRW226-A2,38.595361099999998,-77.404027700000000,15m,7/11/2006 0:00:00,1,EBIS,larva,1,3,2,6.9,2.8,3,Y,NULL,37,40,NULL,NULL,NULL,NULL,NULL,23,2,9,4,40,33,21,N,Y,7.09,24,NULL,25.7,19.2,38 35.72120336N 077 24.24151857W,1642,115317,0.010241866961000,-77.394984096499996,38.590541705000000
1643,Prince William Forest National Park,PRW226-A2,38.595361099999998,-77.404027700000000,15m,7/11/2006 0:00:00,1,PRUB,larva,0,0,1,6.9,2.8,3,Y,NULL,37,40,NULL,NULL,NULL,NULL,NULL,23,2,9,4,40,33,21,N,Y,7.09,24,NULL,25.7,19.2,38 35.72120336N 077 24.24151857W,1643,115317,0.010241866961000,-77.394984096499996,38.590541705000000
1644,Prince William Forest National Park,PRW227-1L,38.594111099999999,-77.399666600000003,15m,6/21/2006 0:00:00,1,PRUB,larva,1,1,0,13.1,0.8,0.9,NULL,NULL,12,13,8,9,NULL,NULL,NULL,57,9,5,1,134,47,41,N,Y,5.02,26,NULL,27.5,18.4,38 35.64620337N 077 23.97985265W,1644,115317,0.005881247089960,-77.394984096499996,38.590541705000000
1645,Prince William Forest National Park,PRW227-1L,38.594111099999999,-77.399666600000003,15m,6/21/2006 0:00:00,1,ebis,larva,5,24,2,13.1,0.8,0.9,NULL,NULL,12,13,8,9,NULL,NULL,NULL,57,9,5,1,134,47,41,N,Y,5.02,26,NULL,27.5,18.4,38 35.64620337N 077 23.97985265W,1645,115317,0.005881247089960,-77.394984096499996,38.590541705000000
1646,Prince William Forest National Park,PRW227-1L,38.594111099999999,-77.399666600000003,15m,7/11/2006 0:00:00,2,PRUB,adult,0,1,NULL,10,2.5,4,Y,21,4,9,NULL,23,NULL,NULL,NULL,43,3,3,9,140,47,51,N,Y,5.45,15,NULL,23.7,19.5,38 35.64620337N 077 23.97985265W,1646,115317,0.005881247089960,-77.394984096499996,38.590541705000000
1647,Prince William Forest National Park,PRW227-1L,38.594111099999999,-77.399666600000003,15m,7/11/2006 0:00:00,2,PRUB,larva,2,1,NULL,10,2.5,4,Y,21,4,9,NULL,23,NULL,NULL,NULL,43,3,3,9,140,47,51,N,Y,5.45,15,NULL,23.7,19.5,38 35.64620337N 077 23.97985265W,1647,115317,0.005881247089960,-77.394984096499996,38.590541705000000
1648,Prince William Forest National Park,PRW227-1L,38.594111099999999,-77.399666600000003,15m,7/11/2006 0:00:00,2,EBIS,larva,0,2,NULL,10,2.5,4,Y,21,4,9,NULL,23,NULL,NULL,NULL,43,3,3,9,140,47,51,N,Y,5.45,15,NULL,23.7,19.5,38 35.64620337N 077 23.97985265W,1648,115317,0.005881247089960,-77.394984096499996,38.590541705000000
1649,Prince William Forest National Park,PRW227-1L,38.594111099999999,-77.399666600000003,15m,6/23/2009 0:00:00,NULL,PRUB,larva,3,2,NULL,4.5,2,3,Y,33,7,NULL,3,13,NULL,NULL,NULL,44,1,13,1,28,58,54,U,U,NULL,NULL,NULL,24.6,NULL,38 35.64620337N 077 23.97985265W,1649,115317,0.005881247089960,-77.394984096499996,38.590541705000000
1650,Prince William Forest National Park,PRW227-1L,38.594111099999999,-77.399666600000003,15m,7/21/2009 0:00:00,NULL,NULL,NULL,NULL,NULL,NULL,0,1,2.5,Y,NULL,17,NULL,28,24,NULL,NULL,NULL,29,1,0,2,0,30,16,N,Y,NULL,NULL,NULL,NULL,NULL,38 35.64620337N 077 23.97985265W,1650,115317,0.005881247089960,-77.394984096499996,38.590541705000000
1651,Prince William Forest National Park,PRW227-1L,38.594111099999999,-77.399666600000003,15m,6/18/2012 0:00:00,1,NULL,NULL,NULL,NULL,NULL,3,2,5,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,5,10,0,58,15,25,N,Y,6.5,24,NULL,19.3,16.8,38 35.64620337N 077 23.97985265W,1651,115317,0.005881247089960,-77.394984096499996,38.590541705000000
